name,summary,currency,sector,industry_group,industry,exchange,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi
AmerisourceBergen Corporation,"AmerisourceBergen Corporation sources and distributes pharmaceutical products in the United States and internationally. Its Pharmaceutical Distribution segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, outsourced compounded sterile preparations, and related services to various healthcare providers, including acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and other alternate site pharmacies, and other customers. It also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; and packaging solutions to various institutional and retail healthcare providers. In addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics; and offers data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers. The company's Other segment provides integrated manufacturer services, such as clinical trial support, product post-approval, and commercialization support; offers specialty transportation and logistics services for the biopharmaceutical industry; and sells pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and various other products to customers in both the companion animal and production animal markets, as well as provides demand-creating sales force services to manufacturers. AmerisourceBergen Corporation was founded in 1985 and is headquartered in Chesterbrook, Pennsylvania.",USD,Health Care,Health Care Equipment & Services,Health Care Providers & Services,NYQ,New York Stock Exchange,United States,PA,Chesterbrook,19087-5594,http://www.amerisourcebergen.com,Large Cap,US03073E1055,3.07E+108,BBG000MDCSN6,BBG000MDCQC2,BBG001S8X7P0
Ameris Bancorp,"Ameris Bancorp operates as the bank holding company for Ameris Bank that provides range of banking services to retail and commercial customers primarily in Georgia, Alabama, Florida, and South Carolina. The company operates through five segments: Banking Division, Retail Mortgage Division, Warehouse Lending Division, SBA Division, and Premium Finance Division. It offers commercial and retail checking, regular interest-bearing savings, money market, individual retirement, and certificates of deposit accounts. The company also provides commercial real estate, residential real estate mortgage, agricultural, and commercial and industrial loans; consumer loans, including motor vehicle, home improvement, and home equity loans, as well as loans secured by savings accounts and small unsecured personal credit lines. In addition, it originates, administers, and services commercial insurance premium loans and small business administration loans. The company operates 164 full service domestic banking offices and 33 mortgage and loan production offices. Ameris Bancorp was founded in 1971 and is headquartered in Atlanta, Georgia.",USD,Financials,Banks,Banks,NMS,NASDAQ Global Select,United States,GA,Atlanta,30305,http://www.amerisbank.com,Mid Cap,,,,,
Abcam plc,"Abcam plc, a life sciences company, researches, develops, and distributes biological reagents and tools for research, drug discovery, and diagnostics in the United States, China, Japan, Europe, the Middle East, Africa, and rest of Asia Pacific. The company offers various research products, including primary and secondary antibodies; ELISA and matched antibody pairs; cell and tissue imaging tools; cellular and biochemical assays; proteins and peptides; proteomics tools; agonists, antagonists, activators, and inhibitors; lysates; and multiplex assays. Its research products are used in the areas of cancer, cardiovascular, cell biology, developmental biology, epigenetics, nuclear signaling, immunology, metabolism, microbiology, neuroscience, signal transduction, and stem cells. Further, the company offers diagnostic and therapeutic solutions. The company also sells its products online. Abcam plc was founded in 1998 and is headquartered in Cambridge, the United Kingdom.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,NMS,NASDAQ Global Select,United Kingdom,,Cambridge,CB2 0AX,http://www.abcam.com,Mid Cap,,,BBG00XRJJM07,BBG00XRJJLG2,BBG00XRJJM98
Ambev S.A.,"Ambev S.A., through its subsidiaries, produces, distributes, and sells beer, draft beer, carbonated soft drinks (CSD), other non-alcoholic beverages, malt, and food products in the Americas. It operates through three segments: Brazil; Central America and the Caribbean; Latin America South; and Canada. The company offers beer primarily under the Skol, Brahma, Antarctica, Brahva, Brahva Gold, Extra, Budweiser, Bud Light, Stella Artois, Corona, Modelo Especial, Beck, Leffe, Hoegaarden, Bucanero, Cristal, Mayabe, Cacique, Presidente, Brahma Light, President Light, Bohemia, The One, Banks, Deputy, Quilmes ClÃ¡sica, PaceÃ±a, TaquiÃ±a, Huari, Becker, CusqueÃ±a, Pilsen, Ouro Fino, Patricia, Michelob Ultra, Busch, Labatt Blue, Alexander Keith's, and Kokanee brands. It also provides bottled water, isotonic beverages, energy drinks, coconut water, powdered and natural juices, and ready-to-drink teas under the GuaranÃ¡ Antarctica, Natu, Gatorade, H2OH!, Lipton Iced Tea, Fusion, Do Bem, Pepsi, Canada Dry, Squirt, Red Rock, Pepsi-Cola, Seven Up, Nutrl, and Palm Bay and Mike's brands, as well as For Me wellness shots, a functional beverage. Ambev S.A. offers its products through a network of third-party distributors and a direct distribution system. The company was founded in 1885 and is headquartered in SÃ£o Paulo, Brazil. Ambev S.A. is a subsidiary of Interbrew International B.V.",USD,Consumer Staples,"Food, Beverage & Tobacco",Beverages,NYQ,New York Stock Exchange,Brazil,SP,Sao Paulo,04530-001,http://www.ambev.com.br,Large Cap,US02319V1035,02319V103,BBG000BN5XM4,BBG000BN5VZ4,BBG005KLVT74
"Asbury Automotive Group, Inc.","Asbury Automotive Group, Inc., together with its subsidiaries, operates as an automotive retailer in the United States. It offers a range of automotive products and services, including new and used vehicles; and vehicle repair and maintenance services, replacement parts, and collision repair services. The company also provides finance and insurance products, including arranging vehicle financing through third parties; and aftermarket products, such as extended service contracts, guaranteed asset protection debt cancellation, prepaid maintenance, and credit life and disability insurance. As of December 31, 2020, the company owned and operated 112 new vehicle franchises representing 31 brands of automobiles at 91 dealership locations; and 25 collision centers in the United States. Asbury Automotive Group, Inc. was founded in 1996 and is headquartered in Duluth, Georgia.",USD,Consumer Discretionary,Automobiles & Components,Automobiles,NYQ,New York Stock Exchange,United States,GA,Duluth,30097,http://www.asburyauto.com,Mid Cap,US0434361046,43436104,BBG000BKDXS5,BBG000BKDWB5,BBG001S9B5H5
Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,,USD,,,,NMS,NASDAQ Global Select,United States,,,,,Mid Cap,,,,,
ABM Industries Incorporated,"ABM Industries Incorporated provides integrated facility solutions in the United States and internationally. The company operates through Business & Industry, Technology & Manufacturing, Education, Aviation, and Technical Solutions segments. It provides janitorial, facilities engineering, parking, custodial, landscaping and ground, and mechanical and electrical services; and vehicle maintenance and other services to rental car providers. The company was founded in 1909 and is headquartered in New York, New York.",USD,Industrials,Commercial & Professional Services,Professional Services,NYQ,New York Stock Exchange,United States,NY,New York,10006,http://www.abm.com,Mid Cap,US0009571003,957100,BBG000B9Z0B6,BBG000B9YYH7,BBG001S5N9B8
"Abiomed, Inc.","Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5 catheter, a percutaneous micro heart pump with integrated motor and sensors for use in interventional cardiology; and Impella CP, a device used by interventional cardiologists to support patients in the cath lab and cardiac surgeons in the heart surgery suite. It also provides Impella 5.0 and Impella LD, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; and Impella Connect, a cloud-based technology that enables secure, cloud-based, and remote viewing of the Automated Impella Controller for physicians and hospital staffs. In addition, the company engages in the development of Impella XR Sheath, a sheath designed to expand and recoil to all for ease of use upon insertion of an Impella heart pump and minimize the size of the arteriotomy; Impella BTR, a percutaneous micro heart pumps with integrated motors and sensors; and Impella ECP pump that is designed for blood flow of greater than three liters per minute. It sells its products through direct sales and clinical support personnel in the United States, Canada, Europe, and Asia. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",USD,Health Care,Health Care Equipment & Services,Health Care Technology,NMS,NASDAQ Global Select,United States,MA,Danvers,1923,http://www.abiomed.com,Large Cap,,,,,
"Airbnb, Inc.","Airbnb, Inc., together with its subsidiaries, operates a platform for stays and experiences to guests worldwide. The company's marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences. It primarily offers private rooms and luxury villas. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California.",USD,Communication Services,Telecommunication Services,Diversified Telecommunication Services,NMS,NASDAQ Global Select,United States,CA,San Francisco,94103,http://www.airbnb.com,Large Cap,US0090661010,9066101,BBG00Y6TX6L2,BBG001Y2XS07,BBG001Y2XS16
"Arbor Realty Trust, Inc.","Arbor Realty Trust, Inc. invests in a diversified portfolio of structured finance assets in the multifamily, single-family rental, and commercial real estate markets in the United States. The company operates in two segments, Structured Business and Agency Business. It primarily invests in real estate-related bridge and mezzanine loans, including junior participating interests in first mortgages, and preferred and direct equity, as well as real estate-related joint ventures, real estate-related notes, and various mortgage-related securities. The company offers bridge financing products to borrowers who seek short-term capital to be used in an acquisition of property; financing by making preferred equity investments in entities that directly or indirectly own real property; mezzanine financing in the form of loans that are subordinate to a conventional first mortgage loan and senior to the borrower's equity in a transaction; junior participation financing in the form of a junior participating interest in the senior debt; and financing products to borrowers who are looking to acquire conventional, workforce, and affordable single-family housing. In addition, it underwrites, originates, sells, and services multifamily mortgage loans through conduit/commercial mortgage-backed securities programs.   The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders. The company was incorporated in 2003 and is headquartered in Uniondale, New York.",USD,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),NYQ,New York Stock Exchange,United States,NY,Uniondale,11553,http://www.arbor.com,Mid Cap,,,,,
Abbott Laboratories,"Abbott Laboratories discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, MÃ©niÃ¨re's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. The company was founded in 1888 and is based in North Chicago, Illinois.",USD,Health Care,Health Care Equipment & Services,Health Care Technology,NYQ,New York Stock Exchange,United States,IL,North Chicago,60064-6400,http://www.abbott.com,Large Cap,US0028241000,2824100,BBG000B9ZZG4,BBG000B9ZXB4,BBG001S5N9M6
"Arcosa, Inc.","Arcosa, Inc., together with its subsidiaries, provides infrastructure-related products and solutions for the construction, energy, and transportation markets in North America. It operates through three segments: Construction Products, Engineered Structures, and Transportation Products. The Construction Products segment offers natural and lightweight aggregates; specialty materials, including lightweight aggregates and plaster; trench shields and shoring products for residential and non-residential construction, agriculture, specialty building products, and underground construction markets, as well as for infrastructure, including road, bridge, and other public products markets. The Engineered Structures segment provides utility structures, wind towers, traffic and lighting structures, telecommunication structures, storage and distribution tanks for electricity transmission and distribution, wind power generation, highway road construction, and wireless communication markets, as well as for gas and liquids storage and transportation for residential, commercial, agriculture, and industrial markets. The Transportation Products segment offers inland barges; fiberglass barge covers, winches, and other components; axles and couplers for railcars and locomotives; industrial and military castings, and forged products for transportation products serving various markets, including agriculture/food, refined, chemicals, upstream oil, and railcar manufacturers and maintenance operations industries. Arcosa, Inc. was incorporated in 2018 and is headquartered in Dallas, Texas.",USD,Industrials,Transportation,Transportation Infrastructure,NYQ,New York Stock Exchange,United States,TX,Dallas,75201,http://www.arcosa.com,Mid Cap,US0396531008,39653100,BBG00JGMWFQ5,BBG00JGMWFM9,BBG00JGMWGB9
ACADIA Pharmaceuticals Inc.,"ACADIA Pharmaceuticals Inc., a biopharmaceutical company, focuses on the development and commercialization of small molecule drugs that address unmet medical needs in central nervous system disorders. The company offers NUPLAZID (pimavanserin) for the treatment of hallucinations and delusions associated with Parkinson's disease psychosis; Trofinetide, a novel synthetic analog for the treatment of Rett syndrome; ACP-044, a novel first-in-class orally administered non-opioid analgesic for treating acute and chronic pain; and ACP-319, a positive allosteric modulator of the muscarinic receptor for treating cognition and schizophrenia. It is also developing pimavanserin as a treatment for dementia-related psychosis and as an adjunctive treatment for schizophrenia; and pimavanserin as an adjunctive treatment for major depressive disorder. ACADIA Pharmaceuticals Inc. was founded in 1993 and is headquartered in San Diego, California.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,NMS,NASDAQ Global Select,United States,CA,San Diego,92130,http://www.acadia-pharm.com,Mid Cap,US0042251084,4225108,BBG000BHGMW8,BBG000BHG9K0,BBG001SB06N3
"American Campus Communities, Inc.","American Campus Communities, Inc. is the largest owner, manager and developer of high-quality student housing communities in the United States. The company is a fully integrated, self-managed and self-administered equity real estate investment trust (REIT) with expertise in the design, finance, development, construction management and operational management of student housing properties. As of September 30, 2020, American Campus Communities owned 166 student housing properties containing approximately 111,900 beds. Including its owned and third-party managed properties, ACC's total managed portfolio consisted of 204 properties with approximately 139,900 beds.",USD,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),NYQ,New York Stock Exchange,United States,TX,Austin,78738,http://www.americancampus.com,Mid Cap,NO0010890304,,,,
Arch Capital Group Ltd.,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide. The company's Insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; collateral protection, debt cancellation, and service contract reimbursement products; directors' and officers' liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workers' compensation and umbrella liability, as well as commercial automobile, and inland marine products. It also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; employer's liability; and contract and commercial surety coverages. This segment markets its products through a group of licensed independent retail and wholesale brokers. Its Reinsurance segment provides reinsurance for third party liability and workers' compensation exposures; marine and aviation reinsurance; surety, accident and health, workers' compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions. This segment markets its reinsurance products through brokers. The company's Mortgage segment offers direct mortgage insurance and mortgage reinsurance. The company was founded in 1995 and is based in Pembroke, Bermuda.",USD,Financials,Insurance,Insurance,NMS,NASDAQ Global Select,Bermuda,,Pembroke,HM 08,http://www.archcapgroup.com,Large Cap,,,BBG000HXQ125,BBG000HXNN20,BBG001S9HZ74
Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,,USD,Financials,Insurance,Insurance,NMS,NASDAQ Global Select,Bermuda,,,,,Mid Cap,,,,,
